Agent	Tool	Description
Chem Utils	get_embedding	Returns the ECFP molecular fingerprint from SMILES
Chem Utils	molecule_png_url	Returns the molecule image url of a CID from PubChem
PubChem	search_compounds	Search PubChem database for compounds by name, CAS number, formula, or identifier
PubChem	get_compound_info	Get detailed information for a specific compound by PubChem CID
PubChem	search_by_smiles	Search for compounds by SMILES string (exact match)
PubChem	search_by_inchi	Search for compounds by InChI or InChI key
PubChem	search_by_cas_number	Search for compounds by CAS Registry Number
PubChem	get_compound_synonyms	Get all names and synonyms for a compound
PubChem	search_similar_compounds	Find chemically similar compounds using Tanimoto similarity
PubChem	substructure_search	Find compounds containing a specific substructure
PubChem	superstructure_search	Find larger compounds that contain the query structure
PubChem	get_3d_conformers	Get 3D conformer data and structural information
PubChem	analyze_stereochemistry	Analyze stereochemistry, chirality, and isomer information
PubChem	get_compound_properties	Get molecular properties (MW, logP, TPSA, etc.)
PubChem	calculate_descriptors	Calculate comprehensive molecular descriptors and fingerprints
PubChem	predict_admet_properties	Predict ADMET properties (Absorption, Distribution, Metabolism, Excretion, Toxicity)
PubChem	assess_drug_likeness	Assess drug-likeness using Lipinski Rule of Five, Veber rules, and PAINS filters
PubChem	analyze_molecular_complexity	Analyze molecular complexity and synthetic accessibility
PubChem	get_pharmacophore_features	Get pharmacophore features and binding site information
PubChem	search_bioassays	Search for biological assays by target, description, or source
PubChem	get_assay_info	Get detailed information for a specific bioassay by AID
PubChem	get_compound_bioactivities	Get all bioassay results and activities for a compound
PubChem	search_by_target	Find compounds tested against a specific biological target
PubChem	compare_activity_profiles	Compare bioactivity profiles across multiple compounds
PubChem	get_safety_data	Get GHS hazard classifications and safety information
PubChem	get_toxicity_info	Get toxicity data including LD50, carcinogenicity, and mutagenicity
PubChem	assess_environmental_fate	Assess environmental fate including biodegradation and bioaccumulation
PubChem	get_regulatory_info	Get regulatory information from FDA, EPA, and international agencies
PubChem	get_external_references	Get links to external databases (ChEMBL, DrugBank, KEGG, etc.)
PubChem	search_patents	Search for chemical patents and intellectual property information
PubChem	get_literature_references	Get PubMed citations and scientific literature references
PubMed	batch_compound_lookup	Process multiple compound IDs efficiently
PubMed	search_pubmed	Search PubMed for articles with advanced filtering options
PubMed	get_article_details	Get detailed information for specific articles by PMID
PubMed	search_by_author	Search for articles by a specific author
PubMed	find_related_articles	Find articles related to a specific PMID
PubMed	export_citations	Export article citations in various formats
PubMed	search_mesh_terms	Search and explore MeSH (Medical Subject Headings) terms
PubMed	search_by_journal	Search articles from a specific journal
PubMed	get_trending_topics	Get trending medical topics and research areas
PubMed	analyze_research_trends	Analyze publication trends for a research topic over time
PubMed	compare_articles	Compare multiple articles side by side
PubMed	get_journal_metrics	Get metrics and information about a specific journal
OpenTargets	advanced_search	Perform complex PubMed searches with multiple criteria
OpenTargets	get_open_targets_graphql_schema	Retrieve the Open Targets Platform GraphQL schema.
OpenTargets	search_entities	Search for entities across multiple types using the Open Targets Platform search API.
OpenTargets	query_open_targets_graphql	Execute GraphQL queries against the Open Targets Platform API.
OpenTargets	batch_query_open_targets_graphql	Execute the same GraphQL query multiple times with different variable sets.
